scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Hypophthalmichthys molitrix,2025-09-09 15:50:00 -0500,,"Platte River, Platte City, MO, US",39.275145,-94.8229966667,NA,Silver Carp,https://www.inaturalist.org/observations/314198978,https://inaturalist-open-data.s3.amazonaws.com/photos/567479781/medium.jpg,onefishtwofish,314198978,Silver Carp,Actinopterygii,128274,2,0,2025-09-09 15:50:00-05:00,2025-09-09,2025-09-09 20:50:00 UTC,Central Time (US & Canada),451,451,,open,false,,,7303880,,2025-09-15 20:51:16 UTC,2025-09-18 11:49:19 UTC,research,CC-BY-NC,NA,3,false
Hypophthalmichthys molitrix,2025-09-10 14:28:00 -0500,,"Uniontown, KY, US",37.7755883333,-87.9380716667,NA,Silver Carp,https://www.inaturalist.org/observations/313121227,https://inaturalist-open-data.s3.amazonaws.com/photos/565421621/medium.jpg,rgdodson,313121227,Silver Carp,Actinopterygii,128274,2,0,2025-09-10 14:28:00,2025-09-10,2025-09-10 19:28:00 UTC,Central Time (US & Canada),2,2,,open,false,,,9526,Ron Dodson,2025-09-11 15:29:22 UTC,2025-09-15 00:56:26 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-09-03 08:30:00 -0500,,"Chariton, Missouri, United States",39.4150033333,-93.115710000000007,NA,Silver Carp,https://www.inaturalist.org/observations/311369097,https://inaturalist-open-data.s3.amazonaws.com/photos/562072482/medium.jpg,shiinzi,311369097,Silver Carp,Actinopterygii,128274,2,0,2025/09/03 8:30 AM,2025-09-03,2025-09-03 13:30:00 UTC,Central Time (US & Canada),NA,NA,,open,false,,,5281716,Shin Batz,2025-09-04 00:33:33 UTC,2025-09-04 18:15:04 UTC,research,CC-BY-NC,NA,NA,false
Hypophthalmichthys molitrix,2025-09-02 15:23:40 -0500,,"Oquawka, IL, US",40.91758,-90.9677716667,NA,Silver Carp,https://www.inaturalist.org/observations/311175253,https://inaturalist-open-data.s3.amazonaws.com/photos/561706325/medium.jpg,frogron,311175253,Silver Carp,Actinopterygii,128274,3,0,2025-09-02 15:23:40,2025-09-02,2025-09-02 20:23:40 UTC,Central Time (US & Canada),4,4,,open,false,,,7319644,aaron brady,2025-09-03 03:16:58 UTC,2025-09-05 14:45:20 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-30 12:09:01 -0500,~10 floating dead in the river ,"Kentucky, US",37.0063730995,-88.4642968205,NA,Silver Carp,https://www.inaturalist.org/observations/310921475,https://static.inaturalist.org/photos/561209811/medium.jpg,ricky1212,310921475,Silver Carp,Actinopterygii,128274,1,0,2025-08-30 12:09:01-05:00,2025-08-30,2025-08-30 17:09:01 UTC,Central Time (US & Canada),53,28447,obscured,open,true,,,118172,Ricky,2025-09-02 01:14:32 UTC,2025-09-05 15:20:17 UTC,research,,NA,3,false
Hypophthalmichthys molitrix,2025-09-01 11:42:06 -0400,,"Ohio River, New Albany, KY, US",38.2763666667,-85.8292533333,NA,Silver Carp,https://www.inaturalist.org/observations/310806239,https://inaturalist-open-data.s3.amazonaws.com/photos/560988041/medium.jpg,drewrdavis,310806239,Hypophthalmichthys molitrix,Actinopterygii,128274,3,0,2025-09-01 11:42:06-04:00,2025-09-01,2025-09-01 15:42:06 UTC,America/Kentucky/Louisville,14,14,,open,false,,,17484,"Drew R. Davis, Ph.D.",2025-09-01 17:12:55 UTC,2025-09-04 18:29:44 UTC,research,CC-BY-NC,NA,3,false
Hypophthalmichthys molitrix,2025-08-30 17:46:10 -0500,,"Visitor Center Rd, Macon, MO, US",39.7516751318,-92.5185039533,NA,Silver Carp,https://www.inaturalist.org/observations/310333003,https://static.inaturalist.org/photos/560080663/medium.jpg,lane_hook,310333003,Silver Carp,Actinopterygii,128274,2,0,2025-08-30 17:46:10-05:00,2025-08-30,2025-08-30 22:46:10 UTC,Central Time (US & Canada),4,4,,open,false,,,8618312,Lane Hook,2025-08-30 22:47:26 UTC,2025-09-15 00:35:53 UTC,research,,NA,3,false
Hypophthalmichthys molitrix,2025-08-30 10:10:54 -0400,,Louisville,38.2742195129,-85.7663574219,NA,Silver Carp,https://www.inaturalist.org/observations/310204692,https://inaturalist-open-data.s3.amazonaws.com/photos/559958800/medium.jpg,dabailey,310204692,Silver Carp,Actinopterygii,128274,1,0,Sat Aug 30 2025 10:10:54 GMT -0400 (EDT),2025-08-30,2025-08-30 14:10:54 UTC,America/Kentucky/Louisville,2,2,,open,false,,,4014076,David Bailey,2025-08-30 14:11:32 UTC,2025-09-15 00:35:05 UTC,research,CC-BY-NC,NA,333,false
Hypophthalmichthys molitrix,2025-08-29 10:21:02 -0500,,"Fourche Dam Pike, Little Rock, AR, US",34.7106216667,-92.1905283333,NA,Silver Carp,https://www.inaturalist.org/observations/310009374,https://static.inaturalist.org/photos/559456499/medium.jpg,grozycki,310009374,Silver Carp,Actinopterygii,128274,2,0,2025-08-29 10:21:02,2025-08-29,2025-08-29 15:21:02 UTC,Central Time (US & Canada),2147,2147,,open,false,,,453711,,2025-08-29 17:17:34 UTC,2025-09-08 06:13:22 UTC,research,,NA,843,false
Hypophthalmichthys molitrix,2025-08-26 15:50:07 -0400,,"Jeffersonville, IN 47129, USA",38.2771320092,-85.7635065168,NA,Silver Carp,https://www.inaturalist.org/observations/309407049,https://inaturalist-open-data.s3.amazonaws.com/photos/558328075/medium.jpg,xenotoca,309407049,Silver Carp,Actinopterygii,128274,1,0,2025-08-26 15:50:07,2025-08-26,2025-08-26 19:50:07 UTC,America/Kentucky/Louisville,207,207,,open,false,gps,gps,5132369,Chris S.,2025-08-27 03:22:30 UTC,2025-09-15 00:30:28 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-08-25 09:37:29 -0500,,"Bath, IL, US",40.1295471667,-90.3356466667,NA,Silver Carp,https://www.inaturalist.org/observations/309092607,https://inaturalist-open-data.s3.amazonaws.com/photos/557721742/medium.jpg,frogron,309092607,Silver Carp,Actinopterygii,128274,2,0,2025-08-25 09:37:29,2025-08-25,2025-08-25 14:37:29 UTC,Central Time (US & Canada),4,4,,open,false,,,7319644,aaron brady,2025-08-25 20:46:18 UTC,2025-08-30 01:41:57 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-24 18:24:59 +0800,,"华强北, 深圳市, 广东省, CN",22.5448533333,114.0900195,NA,Silver Carp,https://www.inaturalist.org/observations/308671354,https://inaturalist-open-data.s3.amazonaws.com/photos/556910335/medium.jpg,xiangrui441,308671354,鲢鱼,Actinopterygii,128274,1,0,2025-08-24 18:24:59+08:00,2025-08-24,2025-08-24 10:24:59 UTC,Beijing,26,26,,open,false,,,8488846,,2025-08-24 10:31:24 UTC,2025-08-27 08:07:23 UTC,research,CC-BY-NC,NA,3,false
Hypophthalmichthys molitrix,2025-08-23 10:56:51 -0400,,"Jeffersonville, IN 47129, USA",38.2771320092,-85.7635065168,NA,Silver Carp,https://www.inaturalist.org/observations/308465424,https://inaturalist-open-data.s3.amazonaws.com/photos/556512849/medium.jpg,jeklof,308465424,Silver Carp,Actinopterygii,128274,1,0,2025-08-23 10:56:51,2025-08-23,2025-08-23 14:56:51 UTC,America/Kentucky/Louisville,207,207,,open,false,gps,gps,8572270,,2025-08-23 16:25:11 UTC,2025-09-08 04:28:30 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-08-20 11:25:50 -0400,,"Indiana, US",39.2867914555,-87.595118106,NA,Silver Carp,https://www.inaturalist.org/observations/307868288,https://static.inaturalist.org/photos/555368365/medium.jpg,nate_eachus,307868288,Silver Carp,Actinopterygii,128274,1,0,2025-08-20 11:25:50,2025-08-20,2025-08-20 15:25:50 UTC,Indiana (East),6503,28121,obscured,open,true,,,7031273,Nathaniel Eachus,2025-08-21 01:14:19 UTC,2025-09-08 04:28:24 UTC,research,,NA,843,false
Hypophthalmichthys molitrix,2025-05-27 13:20:00 -0500,Big River,"Cedar Hill, MO 63016, USA",38.3678286932,-90.6554397727,NA,Silver Carp,https://www.inaturalist.org/observations/307796418,https://inaturalist-open-data.s3.amazonaws.com/photos/555225635/medium.jpg,shiinzi,307796418,Silver Carp,Actinopterygii,128274,1,0,2025/05/27 1:20 PM,2025-05-27,2025-05-27 18:20:00 UTC,Central Time (US & Canada),1748,1748,,open,false,,,5281716,Shin Batz,2025-08-20 18:23:16 UTC,2025-08-21 02:59:15 UTC,research,CC-BY-NC,NA,NA,false
Hypophthalmichthys molitrix,2025-08-17 16:29:08 -0500,,"Sample, KY 40143, USA",37.9219579196,-86.5901009738,NA,Silver Carp,https://www.inaturalist.org/observations/307341801,https://static.inaturalist.org/photos/554353089/medium.jpg,bingusb,307341801,Silver Carp,Actinopterygii,128274,1,0,2025-08-17 16:29:08,2025-08-17,2025-08-17 21:29:08 UTC,America/Indiana/Tell_City,1978,1978,,open,false,gps,gps,1174763,,2025-08-18 19:16:47 UTC,2025-09-08 04:28:18 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-08-14 13:08:31 -0500,,"Lewistown, IL, US",40.3161916667,-90.0675278333,NA,Silver Carp,https://www.inaturalist.org/observations/306328210,https://inaturalist-open-data.s3.amazonaws.com/photos/552411791/medium.jpg,mtole,306328210,Silver Carp,Actinopterygii,128274,2,0,2025-08-14 13:08:31,2025-08-14,2025-08-14 18:08:31 UTC,Central Time (US & Canada),51,51,,open,false,,,7395584,Max Olejniczak,2025-08-14 20:07:20 UTC,2025-08-27 19:16:12 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-11 10:09:07 -0500,,"Havana, IL, US",40.2356716667,-90.1202611667,NA,Silver Carp,https://www.inaturalist.org/observations/305615782,https://inaturalist-open-data.s3.amazonaws.com/photos/551051100/medium.jpg,mtole,305615782,Silver Carp,Actinopterygii,128274,1,0,2025-08-11 10:09:07,2025-08-11,2025-08-11 15:09:07 UTC,Central Time (US & Canada),77,77,,open,false,,,7395584,Max Olejniczak,2025-08-11 20:38:01 UTC,2025-08-12 12:07:09 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-10 15:37:26 -0500,,"Bayou D'Arbonne, Farmerville, LA, US",32.632233964,-92.2140668306,NA,Silver Carp,https://www.inaturalist.org/observations/305405762,https://inaturalist-open-data.s3.amazonaws.com/photos/550653891/medium.jpg,thesoulflowers,305405762,Silver Carp,Actinopterygii,128274,1,0,2025-08-10 15:37:26-05:00,2025-08-10,2025-08-10 20:37:26 UTC,Central Time (US & Canada),6,6,,open,false,,,7000618,,2025-08-11 00:45:48 UTC,2025-08-12 01:43:32 UTC,research,CC-BY-NC,NA,3,false
Hypophthalmichthys molitrix,2025-07-29 11:24:44 -0500,,"Mammoth Cave National Park, Edmonson County, US-KY, US",37.24482,-86.2480783333,NA,Silver Carp,https://www.inaturalist.org/observations/304787960,https://inaturalist-open-data.s3.amazonaws.com/photos/549484123/medium.jpg,kmboles,304787960,Silver Carp,Actinopterygii,128274,2,0,2025-07-29 11:24:44,2025-07-29,2025-07-29 16:24:44 UTC,Central Time (US & Canada),4,4,,open,false,,,9623393,,2025-08-08 19:15:40 UTC,2025-08-11 00:15:32 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-08 18:35:53 +0300,,"3798, България",44.2017816667,22.6905033333,NA,Silver Carp,https://www.inaturalist.org/observations/304742323,https://inaturalist-open-data.s3.amazonaws.com/photos/549400954/medium.jpg,milcho,304742323,Byal tolstolob,Actinopterygii,128274,1,0,2025-08-08 18:35:53,2025-08-08,2025-08-08 15:35:53 UTC,Sofia,16,16,,open,false,,,5698320,Milcho Todorov,2025-08-08 16:01:57 UTC,2025-08-22 10:07:45 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-08-04 14:20:27 -0500,,"Havana, IL, US",40.3201616667,-90.059075000000007,NA,Silver Carp,https://www.inaturalist.org/observations/303814522,https://inaturalist-open-data.s3.amazonaws.com/photos/547631863/medium.jpg,mtole,303814522,Silver Carp,Actinopterygii,128274,1,0,2025-08-04 14:20:27,2025-08-04,2025-08-04 19:20:27 UTC,Central Time (US & Canada),4,4,,open,false,,,7395584,Max Olejniczak,2025-08-04 21:01:35 UTC,2025-08-05 00:36:53 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2025-08-02 10:21:36 +0800,,"Nanjing, CN-JS, CN",32.0855255125,118.5450439453,NA,Silver Carp,https://www.inaturalist.org/observations/303085106,https://inaturalist-open-data.s3.amazonaws.com/photos/546262653/medium.jpg,laoshanjinde,303085106,鲢鱼,Actinopterygii,128274,1,0,2025-08-02 10:21:36,2025-08-02,2025-08-02 02:21:36 UTC,Beijing,NA,NA,,open,false,gps,gps,7024352,老山敬德,2025-08-02 10:52:33 UTC,2025-08-05 23:52:35 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-07-30 08:08:42 +0800,,黑龙江省黑河市爱辉区黑河市全民健身中心体育馆,50.2473861111,127.5020583333,NA,Silver Carp,https://www.inaturalist.org/observations/302305701,https://inaturalist-open-data.s3.amazonaws.com/photos/544812853/medium.jpg,nanahyaku,302305701,鰱魚,Actinopterygii,128274,1,0,2025-07-30 08:08:42,2025-07-30,2025-07-30 00:08:42 UTC,Beijing,NA,NA,,open,false,gps,gps,6120358,八百万萬星,2025-07-30 09:18:08 UTC,2025-08-01 18:06:17 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2025-07-26 10:08:04 -0500,,"W Damsite Rd, Little Rock, AR, US",34.6750533333,-92.1620945,NA,Silver Carp,https://www.inaturalist.org/observations/301308357,https://static.inaturalist.org/photos/542942347/medium.jpg,cherrielee,301308357,Silver Carp,Actinopterygii,128274,1,0,2025-07-26 10:08:04-05:00,2025-07-26,2025-07-26 15:08:04 UTC,Central Time (US & Canada),4,4,,open,false,,,236397,Cherrie-lee P. Phillip,2025-07-26 20:11:53 UTC,2025-08-11 19:34:06 UTC,research,,NA,3,false
Hypophthalmichthys molitrix,2025-07-25 18:31:00 -0500,,"Vaiden, MS 39176, USA",33.2999564261,-89.6962572634,NA,Silver Carp,https://www.inaturalist.org/observations/301087310,https://inaturalist-open-data.s3.amazonaws.com/photos/542539806/medium.jpg,cricketfrog13,301087310,Silver Carp,Actinopterygii,128274,1,0,2025-07-25 18:31:00,2025-07-25,2025-07-25 23:31:00 UTC,Central Time (US & Canada),273,273,,open,false,gps,gps,785399,,2025-07-26 01:31:56 UTC,2025-08-04 15:26:57 UTC,research,CC-BY-NC,NA,2,false
Hypophthalmichthys molitrix,2016-06-27 01:02:22 -0500,,"New Johnsonville, TN, US",35.9635274037,-87.9938628885,NA,Silver Carp,https://www.inaturalist.org/observations/300022154,https://inaturalist-open-data.s3.amazonaws.com/photos/540548278/medium.jpg,alantroyer7,300022154,Silver Carp,Actinopterygii,128274,1,0,2016-06-27 01:02:22,2016-06-27,2016-06-27 06:02:22 UTC,Central Time (US & Canada),2220,2220,,open,false,,,1443909,,2025-07-22 02:40:26 UTC,2025-08-11 19:34:09 UTC,research,CC-BY-NC,NA,843,false
Hypophthalmichthys molitrix,2020-08-18 14:03:00 +0200,,"Abádszalók, 5241 Hungary",47.4921763997,20.5197339311,NA,Silver Carp,https://www.inaturalist.org/observations/299497992,https://inaturalist-open-data.s3.amazonaws.com/photos/539570083/medium.jpg,rozsa_lajos,299497992,Silver Carp,Actinopterygii,128274,1,0,2020/08/18 2:03 PM,2020-08-18,2020-08-18 12:03:00 UTC,Budapest,2,2,,open,false,,,9520484,Rózsa Lajos,2025-07-20 13:10:48 UTC,2025-08-22 09:58:22 UTC,research,CC-BY-NC,NA,NA,false
